[21:16:58.588] [INFO   ] thread main starting.
[21:16:58.597] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:17:10.966] [SEVERE ] updating countdown to 49584
[21:17:11.074] [SEVERE ] updating countdown to 49476
[21:17:11.181] [SEVERE ] updating countdown to 49369
[21:17:11.289] [SEVERE ] updating countdown to 49261
[21:17:11.397] [SEVERE ] updating countdown to 49153
[21:17:11.506] [SEVERE ] updating countdown to 49044
[21:17:11.615] [SEVERE ] updating countdown to 48935
[21:17:11.722] [SEVERE ] updating countdown to 48828
[21:17:11.830] [SEVERE ] updating countdown to 48720
[21:17:11.939] [SEVERE ] updating countdown to 48611
[21:17:12.046] [SEVERE ] updating countdown to 48504
[21:17:12.155] [SEVERE ] updating countdown to 48395
[21:17:12.265] [SEVERE ] updating countdown to 48285
[21:17:12.372] [SEVERE ] updating countdown to 48178
[21:17:12.480] [SEVERE ] updating countdown to 48070
[21:17:12.588] [SEVERE ] updating countdown to 47962
[21:17:12.698] [SEVERE ] updating countdown to 47852
[21:17:12.806] [SEVERE ] updating countdown to 47744
[21:17:12.915] [SEVERE ] updating countdown to 47635
[21:17:13.022] [SEVERE ] updating countdown to 47528
[21:17:13.130] [SEVERE ] updating countdown to 47420
[21:17:13.240] [SEVERE ] updating countdown to 47310
[21:17:13.348] [SEVERE ] updating countdown to 47202
[21:17:13.461] [SEVERE ] updating countdown to 47089
[21:17:13.562] [SEVERE ] updating countdown to 46988
[21:17:13.669] [SEVERE ] updating countdown to 46881
[21:17:13.782] [SEVERE ] updating countdown to 46768
[21:17:13.893] [SEVERE ] updating countdown to 46657
[21:17:14.007] [SEVERE ] updating countdown to 46543
[21:17:14.119] [SEVERE ] updating countdown to 46431
[21:17:14.228] [SEVERE ] updating countdown to 46322
[21:17:14.342] [SEVERE ] updating countdown to 46208
[21:17:14.454] [SEVERE ] updating countdown to 46096
[21:17:14.565] [SEVERE ] updating countdown to 45985
[21:17:14.677] [SEVERE ] updating countdown to 45873
[21:17:14.791] [SEVERE ] updating countdown to 45759
[21:17:14.902] [SEVERE ] updating countdown to 45648
[21:17:15.013] [SEVERE ] updating countdown to 45537
[21:17:15.128] [SEVERE ] updating countdown to 45422
[21:17:15.237] [SEVERE ] updating countdown to 45313
[21:17:15.350] [SEVERE ] updating countdown to 45200
[21:17:15.460] [SEVERE ] updating countdown to 45090
[21:17:15.573] [SEVERE ] updating countdown to 44977
[21:17:15.686] [SEVERE ] updating countdown to 44864
[21:17:15.798] [SEVERE ] updating countdown to 44752
[21:17:15.911] [SEVERE ] updating countdown to 44639
[21:17:16.021] [SEVERE ] updating countdown to 44529
[21:17:16.132] [SEVERE ] updating countdown to 44418
[21:17:16.246] [SEVERE ] updating countdown to 44304
[21:17:16.357] [SEVERE ] updating countdown to 44193
[21:17:16.468] [SEVERE ] updating countdown to 44082
[21:17:16.581] [SEVERE ] updating countdown to 43969
[21:17:16.698] [SEVERE ] updating countdown to 43852
[21:17:16.807] [SEVERE ] updating countdown to 43743
[21:17:16.918] [SEVERE ] updating countdown to 43632
[21:17:17.030] [SEVERE ] updating countdown to 43520
[21:17:17.142] [SEVERE ] updating countdown to 43408
[21:17:17.242] [SEVERE ] updating countdown to 43308
[21:17:17.351] [SEVERE ] updating countdown to 43199
[21:17:17.462] [SEVERE ] updating countdown to 43088
[21:17:17.574] [SEVERE ] updating countdown to 42976
[21:17:17.686] [SEVERE ] updating countdown to 42864
[21:17:17.798] [SEVERE ] updating countdown to 42752
[21:17:17.910] [SEVERE ] updating countdown to 42640
[21:17:18.022] [SEVERE ] updating countdown to 42528
[21:17:18.132] [SEVERE ] updating countdown to 42418
[21:17:18.246] [SEVERE ] updating countdown to 42304
[21:17:18.357] [SEVERE ] updating countdown to 42193
[21:17:18.471] [SEVERE ] updating countdown to 42079
[21:17:18.582] [SEVERE ] updating countdown to 41968
[21:17:18.692] [SEVERE ] updating countdown to 41858
[21:17:18.807] [SEVERE ] updating countdown to 41743
[21:17:18.922] [SEVERE ] updating countdown to 41628
[21:17:19.029] [SEVERE ] updating countdown to 41521
[21:17:19.141] [SEVERE ] updating countdown to 41409
[21:17:19.253] [SEVERE ] updating countdown to 41297
[21:17:19.366] [SEVERE ] updating countdown to 41184
[21:17:19.478] [SEVERE ] updating countdown to 41072
[21:17:19.589] [SEVERE ] updating countdown to 40961
[21:17:19.700] [SEVERE ] updating countdown to 40850
[21:17:19.812] [SEVERE ] updating countdown to 40738
[21:17:19.924] [SEVERE ] updating countdown to 40626
[21:17:20.037] [SEVERE ] updating countdown to 40513
[21:17:20.150] [SEVERE ] updating countdown to 40400
[21:17:20.262] [SEVERE ] updating countdown to 40288
[21:17:20.373] [SEVERE ] updating countdown to 40177
[21:17:20.486] [SEVERE ] updating countdown to 40064
[21:17:20.598] [SEVERE ] updating countdown to 39952
[21:17:20.710] [SEVERE ] updating countdown to 39840
[21:17:20.821] [SEVERE ] updating countdown to 39729
[21:17:20.933] [SEVERE ] updating countdown to 39617
[21:17:21.046] [SEVERE ] updating countdown to 39504
[21:17:21.158] [SEVERE ] updating countdown to 39392
[21:17:21.269] [SEVERE ] updating countdown to 39281
[21:17:21.381] [SEVERE ] updating countdown to 39169
[21:17:21.494] [SEVERE ] updating countdown to 39056
[21:17:21.605] [SEVERE ] updating countdown to 38945
[21:17:21.717] [SEVERE ] updating countdown to 38833
[21:17:21.831] [SEVERE ] updating countdown to 38719
[21:17:21.939] [SEVERE ] updating countdown to 38611
[21:17:22.054] [SEVERE ] updating countdown to 38496
[21:17:22.165] [SEVERE ] updating countdown to 38385
[21:17:22.278] [SEVERE ] updating countdown to 38272
[21:17:22.387] [SEVERE ] updating countdown to 38163
[21:17:22.502] [SEVERE ] updating countdown to 38048
[21:17:22.615] [SEVERE ] updating countdown to 37935
[21:17:22.728] [SEVERE ] updating countdown to 37822
[21:17:22.837] [SEVERE ] updating countdown to 37713
[21:17:22.950] [SEVERE ] updating countdown to 37600
[21:17:23.060] [SEVERE ] updating countdown to 37490
[21:17:23.174] [SEVERE ] updating countdown to 37376
[21:17:23.285] [SEVERE ] updating countdown to 37265
[21:17:23.397] [SEVERE ] updating countdown to 37153
[21:17:23.508] [SEVERE ] updating countdown to 37042
[21:17:23.621] [SEVERE ] updating countdown to 36929
[21:17:23.732] [SEVERE ] updating countdown to 36818
[21:17:23.845] [SEVERE ] updating countdown to 36705
[21:17:23.958] [SEVERE ] updating countdown to 36592
[21:17:24.068] [SEVERE ] updating countdown to 36482
[21:17:24.180] [SEVERE ] updating countdown to 36370
[21:17:24.292] [SEVERE ] updating countdown to 36258
[21:17:24.406] [SEVERE ] updating countdown to 36144
[21:17:24.518] [SEVERE ] updating countdown to 36032
[21:17:24.631] [SEVERE ] updating countdown to 35919
[21:17:24.742] [SEVERE ] updating countdown to 35808
[21:17:24.854] [SEVERE ] updating countdown to 35696
[21:17:24.966] [SEVERE ] updating countdown to 35584
[21:17:25.078] [SEVERE ] updating countdown to 35472
[21:17:25.188] [SEVERE ] updating countdown to 35362
[21:17:25.302] [SEVERE ] updating countdown to 35248
[21:17:25.402] [SEVERE ] updating countdown to 35148
[21:17:25.509] [SEVERE ] updating countdown to 35041
[21:17:25.622] [SEVERE ] updating countdown to 34928
[21:17:25.733] [SEVERE ] updating countdown to 34817
[21:17:25.846] [SEVERE ] updating countdown to 34704
[21:17:25.957] [SEVERE ] updating countdown to 34593
[21:17:26.069] [SEVERE ] updating countdown to 34481
[21:17:26.180] [SEVERE ] updating countdown to 34370
[21:17:26.292] [SEVERE ] updating countdown to 34258
[21:17:26.405] [SEVERE ] updating countdown to 34145
[21:17:26.517] [SEVERE ] updating countdown to 34033
[21:17:26.629] [SEVERE ] updating countdown to 33921
[21:17:26.746] [SEVERE ] updating countdown to 33804
